"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.01","51.12","CALGARY INTL A","3031092","2019-01-01","2019","01","01","","5.9","","-11.6","","-2.9","","20.9","","0.0","","0.0","","0.0","","0.0","","4","","28","","50",""
"-114.01","51.12","CALGARY INTL A","3031092","2019-01-02","2019","01","02","","11.1","","4.9","","8.0","","10.0","","0.0","","0.0","","0.0","","0.0","","3","","27","","72",""
"-114.01","51.12","CALGARY INTL A","3031092","2019-01-03","2019","01","03","","9.7","","-0.6","","4.6","","13.4","","0.0","","0.0","","0.0","","0.0","","0","T","27","","65",""
"-114.01","51.12","CALGARY INTL A","3031092","2019-01-04","2019","01","04","","9.4","","-6.2","","1.6","","16.4","","0.0","","0.0","","0.0","","0.0","","0","T","22","","74",""
"-114.01","51.12","CALGARY INTL A","3031092","2019-01-05","2019","01","05","","-4.5","","-9.5","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","0","T","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2019-01-06","2019","01","06","","5.7","","-7.1","","-0.7","","18.7","","0.0","","0.0","","0.0","","0.0","","0","T","26","","55",""
"-114.01","51.12","CALGARY INTL A","3031092","2019-01-07","2019","01","07","","-5.7","","-11.9","","-8.8","","26.8","","0.0","","0.0","T","0.0","","0.0","T","0","T","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2019-01-08","2019","01","08","","-6.3","","-14.2","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","0","T","17","","32",""
"-114.01","51.12","CALGARY INTL A","3031092","2019-01-09","2019","01","09","","-4.5","","-10.7","","-7.6","","25.6","","0.0","","0.0","","0.0","","0.0","","0","T","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2019-01-10","2019","01","10","","9.8","","-10.8","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","","","29","","41",""
"-114.01","51.12","CALGARY INTL A","3031092","2019-01-11","2019","01","11","","8.0","","-10.0","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","0","T","20","","39",""
"-114.01","51.12","CALGARY INTL A","3031092","2019-01-12","2019","01","12","","9.6","","-3.6","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","0","T","9","","37",""
"-114.01","51.12","CALGARY INTL A","3031092","2019-01-13","2019","01","13","","9.8","","-5.6","","2.1","","15.9","","0.0","","0.0","","0.0","","0.0","","0","T","","","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2019-01-14","2019","01","14","","9.9","","-6.9","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","0","T","23","","45",""
"-114.01","51.12","CALGARY INTL A","3031092","2019-01-15","2019","01","15","","-2.8","","-9.4","","-6.1","","24.1","","0.0","","0.0","T","0.0","","0.0","T","0","T","","","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2019-01-16","2019","01","16","","-5.4","","-8.0","","-6.7","","24.7","","0.0","","0.0","","3.0","","2.6","","0","T","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2019-01-17","2019","01","17","","-8.0","","-16.7","","-12.4","","30.4","","0.0","","0.0","","4.8","","2.9","","4","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2019-01-18","2019","01","18","","-13.7","","-17.4","","-15.6","","33.6","","0.0","","0.0","","0.0","T","0.0","T","7","","","M","","M"
